session_id,trial_id,cmd_vx,cmd_vy,cmd_wz,design_source,ramp_in_s,settle_s,measure_s,ramp_out_s,sample_rate_hz
go2-session-01,51,-0.5184428352032977,-0.16669290960063024,-0.6139468595067514,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,52,-0.2405956636533388,-0.10901937085555025,-0.44033961786855225,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,53,0.023232990945769583,0.23579858398913706,-0.19539807841673384,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,54,-0.17693126523416325,0.09871265401004403,-0.5251735177404797,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,55,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,56,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,57,0.09901886319368569,0.23467691665038565,-0.6327773860044683,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,58,0.07657570397830427,-0.287833952040525,0.42304206015634027,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,59,-0.5109279527246295,-0.22621377076536542,0.5650956244789629,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,60,0.1242199193766439,-0.17210167651030267,0.16921680601131217,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,0,0.15248515717174516,-0.199908756522041,0.7628510542223239,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,1,0.35,0.15,-0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,2,-0.2503434344039455,0.2795314363552264,-0.41915559295079613,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,3,0.05598337724555036,0.10474937198430195,0.45093925200350626,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,4,-0.2959071361219261,0.1722809599218753,-0.5144915601251929,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,5,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,6,-0.28091346104356146,0.1660487401188337,-0.15515780174261184,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,7,-0.11155286776505274,-0.12407688665970876,0.20562073761481647,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,8,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,9,0.45458971632217515,-0.15927856001423604,-0.5997027882433466,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,10,-0.5083357423610015,-0.0007058670929258049,0.5751619553182878,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,11,0.3120895088809681,-0.24334019201437593,-0.6975329397970851,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,12,0.3751737828969267,-0.17905560566284262,0.26644555946433934,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,13,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-02,14,0.029096981801942756,-0.05072909583187868,0.5165941124124456,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,15,-0.35992200918893813,0.2016096609187274,0.34927845458340956,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,16,0.0,0.25,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-02,17,-0.004292469233145302,0.24375944295987512,0.12763291847141234,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-02,18,0.20222695746127883,-0.2708257787142423,0.7571335023705004,lhs,0.6,0.8,2.0,0.6,50.0
