scenario,tier,seed,phase,trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,predicted_std_vx,predicted_std_vy,predicted_std_wz,valid,reason_codes,steady_ratio,safety_events
tier_b_friction_payload,B,5317,calibration,3,seed_design,0.0,-0.25,0.0,0.0189599830941109,-0.26331668895546206,6.229861808632724e-05,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5318,calibration,3,seed_design,0.0,-0.25,0.0,0.01883749627010952,-0.263019683109617,0.0008496436164574868,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5319,calibration,3,seed_design,0.0,-0.25,0.0,0.018828669189210095,-0.26303599702243224,0.0009081016752928279,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5320,calibration,3,seed_design,0.0,-0.25,0.0,0.018841182513333426,-0.2630209510964553,0.0009353722888958211,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5301,calibration,4,seed_design,0.0,0.25,0.0,0.001250265243120018,0.2256118718768042,0.0025079470883355836,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5302,calibration,4,seed_design,0.0,0.25,0.0,0.005077605697444903,0.23047497893740898,-0.00327415476620942,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5303,calibration,4,seed_design,0.0,0.25,0.0,0.000384426422011461,0.22293779730885482,0.0038709643118767967,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5304,calibration,4,seed_design,0.0,0.25,0.0,0.005359966239197532,0.22869675544594487,-0.0011692804215443437,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5305,calibration,4,seed_design,0.0,0.25,0.0,0.005069757460675295,0.22888019357807957,-0.0009328251105870808,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5306,calibration,4,seed_design,0.0,0.25,0.0,0.001372618305396251,0.22402949913233447,0.0009203603578894419,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5307,calibration,4,seed_design,0.0,0.25,0.0,0.0013859908095274348,0.22392295406557797,0.0011606957765664973,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5308,calibration,4,seed_design,0.0,0.25,0.0,0.003306696473650367,0.22998959356970752,-0.0010113731542876867,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5309,calibration,4,seed_design,0.0,0.25,0.0,0.004233624756402267,0.22828746977872413,0.0006902676694742132,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5310,calibration,4,seed_design,0.0,0.25,0.0,0.003367796043206239,0.22946255698025747,-0.0010872408164379391,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5311,calibration,4,seed_design,0.0,0.25,0.0,0.006243122999837806,0.22891118516882542,-0.003488473520473281,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5312,calibration,4,seed_design,0.0,0.25,0.0,0.005318538574136142,0.23085986510929238,-0.0028407848654958064,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5313,calibration,4,seed_design,0.0,0.25,0.0,0.0012169083024124337,0.2221137268761866,0.011320520716312931,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5314,calibration,4,seed_design,0.0,0.25,0.0,0.003462243156206726,0.22965214192235064,-0.0024436964261900893,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5315,calibration,4,seed_design,0.0,0.25,0.0,-0.000930157230820989,0.23089980773329857,0.028721945824087085,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5316,calibration,4,seed_design,0.0,0.25,0.0,0.0026531153770979203,0.23744736487240067,0.014078838774505421,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5317,calibration,4,seed_design,0.0,0.25,0.0,0.002304889846901226,0.22470414007713205,0.005815523062491512,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5318,calibration,4,seed_design,0.0,0.25,0.0,0.003211975452015199,0.22825228824600624,-0.0005116982353100572,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5319,calibration,4,seed_design,0.0,0.25,0.0,0.0012846237906561338,0.22575422456913358,0.0020256848525161426,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5320,calibration,4,seed_design,0.0,0.25,0.0,0.008362217815486019,0.23415850443403843,-0.0037403519312232225,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5301,calibration,5,seed_design,0.0,0.0,-0.7,-0.01359875749441078,0.0013972663302295003,-0.020027295699164456,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5302,calibration,5,seed_design,0.0,0.0,-0.7,-0.014738340235094995,0.0014236607552951918,-0.019148150280560612,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5303,calibration,5,seed_design,0.0,0.0,-0.7,-0.013696437796493377,0.0011507625975471804,-0.019413355695424427,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5304,calibration,5,seed_design,0.0,0.0,-0.7,-0.015025284817261309,0.0015876563558762397,-0.018765188785678434,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5305,calibration,5,seed_design,0.0,0.0,-0.7,-0.013428834593675896,0.001382295826234564,-0.02024776589008409,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5306,calibration,5,seed_design,0.0,0.0,-0.7,-0.013642690508849477,0.0013644909856144764,-0.01988617986767784,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5307,calibration,5,seed_design,0.0,0.0,-0.7,-0.014895419826255632,0.001335855608639368,-0.01812730487192988,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5308,calibration,5,seed_design,0.0,0.0,-0.7,-0.014742063043223126,0.0014176175875622624,-0.019585572152498627,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5309,calibration,5,seed_design,0.0,0.0,-0.7,-0.014629561583883451,0.0015156710938883874,-0.01927727900450491,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5310,calibration,5,seed_design,0.0,0.0,-0.7,-0.014736604034681617,0.0014955898584058064,-0.01895045351077394,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5311,calibration,5,seed_design,0.0,0.0,-0.7,-0.013545714804545014,0.0013362780053199777,-0.020009599682579985,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5312,calibration,5,seed_design,0.0,0.0,-0.7,-0.014745583322338607,0.0014732956645024413,-0.01889193135584676,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5313,calibration,5,seed_design,0.0,0.0,-0.7,-0.01489858461693087,0.0014475095237003982,-0.018362535936349227,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5314,calibration,5,seed_design,0.0,0.0,-0.7,-0.014766956458262093,0.0014149857542710676,-0.01903180301212922,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5315,calibration,5,seed_design,0.0,0.0,-0.7,-0.013656906924851223,0.0015469587511592303,-0.020089220500131448,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5316,calibration,5,seed_design,0.0,0.0,-0.7,-0.01350849298427135,0.0013406141078355206,-0.02007077263396495,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5317,calibration,5,seed_design,0.0,0.0,-0.7,-0.014892455779486344,0.0014634833049577299,-0.018875667690101447,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5318,calibration,5,seed_design,0.0,0.0,-0.7,-0.013985754643946987,0.0010290306517717154,-0.022162653687470734,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5319,calibration,5,seed_design,0.0,0.0,-0.7,-0.014739476949913967,0.0014104968242936334,-0.018928238590127686,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5320,calibration,5,seed_design,0.0,0.0,-0.7,-0.014756227828178285,0.0014094936748236585,-0.019111805820809367,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5301,calibration,6,seed_design,0.0,0.0,0.7,0.02455090164340915,0.00078746567923463,0.06735044037993902,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5302,calibration,6,seed_design,0.0,0.0,0.7,0.021705525073800126,0.0025274913593797263,0.061006290512221735,nan,nan,nan,nan,nan,nan,True,,0.8857142857142857,
tier_b_friction_payload,B,5303,calibration,6,seed_design,0.0,0.0,0.7,0.024021572656049563,0.0008301834084848673,0.06858845874526928,nan,nan,nan,nan,nan,nan,True,,0.8857142857142857,
tier_b_friction_payload,B,5304,calibration,6,seed_design,0.0,0.0,0.7,0.023895903333154264,0.001967935424609554,0.06302585869215012,nan,nan,nan,nan,nan,nan,True,,0.8857142857142857,
tier_b_friction_payload,B,5305,calibration,6,seed_design,0.0,0.0,0.7,0.02376745782468317,0.0015354367885286981,0.06594159624577131,nan,nan,nan,nan,nan,nan,True,,0.9428571428571428,
tier_b_friction_payload,B,5306,calibration,6,seed_design,0.0,0.0,0.7,0.02442195215464342,0.0007037610536321566,0.06791446574729494,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5307,calibration,6,seed_design,0.0,0.0,0.7,0.024491383420160714,0.0008302416029742997,0.06724216582534802,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5308,calibration,6,seed_design,0.0,0.0,0.7,0.024553925228889013,0.0007882823501575257,0.06739024670085339,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5309,calibration,6,seed_design,0.0,0.0,0.7,0.02450725134939055,0.0008324580676948444,0.06723470918561819,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5310,calibration,6,seed_design,0.0,0.0,0.7,0.024655172119264997,0.00039876557970801833,0.07051558118967026,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5311,calibration,6,seed_design,0.0,0.0,0.7,0.02376590224172742,0.0023656262693191312,0.06121949320388848,nan,nan,nan,nan,nan,nan,True,,0.9428571428571428,
tier_b_friction_payload,B,5312,calibration,6,seed_design,0.0,0.0,0.7,0.02453902632595769,0.00086226992648796,0.0671069177008008,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5313,calibration,6,seed_design,0.0,0.0,0.7,0.024186213859307953,0.0019215907547846833,0.06253009079598937,nan,nan,nan,nan,nan,nan,True,,0.8857142857142857,
tier_b_friction_payload,B,5314,calibration,6,seed_design,0.0,0.0,0.7,0.024563295088298968,0.0008447275598870777,0.06713508179225042,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5315,calibration,6,seed_design,0.0,0.0,0.7,0.024720676606863768,0.0003421478227906687,0.07064685346175847,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5316,calibration,6,seed_design,0.0,0.0,0.7,0.024855088338691263,0.0005523727077119971,0.06818359870733232,nan,nan,nan,nan,nan,nan,True,,1.0,
