family,method,seed,budget,distribution,rmse
affine,active_no_task,1011,24,right_heavy,0.02094344653021214
affine,active_no_task,1011,24,broad_uniform,0.02101895685352589
affine,active_no_task,1011,30,declared,0.012741282922195852
affine,active_no_task,1011,30,forward_heavy,0.013044176234413757
affine,active_no_task,1011,30,left_heavy,0.014611392276543692
affine,active_no_task,1011,30,right_heavy,0.009139965016983562
affine,active_no_task,1011,30,broad_uniform,0.01495459381317313
affine,active_no_task,1012,18,declared,0.024445813010021845
affine,active_no_task,1012,18,forward_heavy,0.023855676692918007
affine,active_no_task,1012,18,left_heavy,0.022022762948270425
affine,active_no_task,1012,18,right_heavy,0.028392665148970903
affine,active_no_task,1012,18,broad_uniform,0.029744592075813193
affine,active_no_task,1012,24,declared,0.018209091399030118
affine,active_no_task,1012,24,forward_heavy,0.015842936548082647
affine,active_no_task,1012,24,left_heavy,0.019797815333873304
affine,active_no_task,1012,24,right_heavy,0.02273913839803245
affine,active_no_task,1012,24,broad_uniform,0.018367009218318762
affine,active_no_task,1012,30,declared,0.01820004470382422
affine,active_no_task,1012,30,forward_heavy,0.0179802887914411
affine,active_no_task,1012,30,left_heavy,0.017719233198969092
affine,active_no_task,1012,30,right_heavy,0.01934760251180689
affine,active_no_task,1012,30,broad_uniform,0.018435772560087507
affine,active_no_task,1013,18,declared,0.028685903032896358
affine,active_no_task,1013,18,forward_heavy,0.02797132377293457
affine,active_no_task,1013,18,left_heavy,0.025358911061482022
affine,active_no_task,1013,18,right_heavy,0.03376832680607082
affine,active_no_task,1013,18,broad_uniform,0.03222253843293239
affine,active_no_task,1013,24,declared,0.023203779092971666
affine,active_no_task,1013,24,forward_heavy,0.022332134957939145
affine,active_no_task,1013,24,left_heavy,0.023719884953059534
affine,active_no_task,1013,24,right_heavy,0.02521292641085908
affine,active_no_task,1013,24,broad_uniform,0.023352765610483054
affine,active_no_task,1013,30,declared,0.026241822097690926
affine,active_no_task,1013,30,forward_heavy,0.024249867682435804
affine,active_no_task,1013,30,left_heavy,0.03296776205026925
affine,active_no_task,1013,30,right_heavy,0.02399408240555529
affine,active_no_task,1013,30,broad_uniform,0.02137074346697245
affine,active_no_task,1014,18,declared,0.02561114656414869
affine,active_no_task,1014,18,forward_heavy,0.02289774412505638
affine,active_no_task,1014,18,left_heavy,0.0333136590023597
affine,active_no_task,1014,18,right_heavy,0.024082445309049294
affine,active_no_task,1014,18,broad_uniform,0.02992000342925407
affine,active_no_task,1014,24,declared,0.014812407494416023
affine,active_no_task,1014,24,forward_heavy,0.015988004311007546
affine,active_no_task,1014,24,left_heavy,0.014018526867996742
affine,active_no_task,1014,24,right_heavy,0.011467963769567399
affine,active_no_task,1014,24,broad_uniform,0.020708570257259702
affine,active_no_task,1014,30,declared,0.01641492976160701
affine,active_no_task,1014,30,forward_heavy,0.01663180800172936
affine,active_no_task,1014,30,left_heavy,0.016774380612941852
affine,active_no_task,1014,30,right_heavy,0.015313086820180769
affine,active_no_task,1014,30,broad_uniform,0.01939944571222735
affine,active_no_task,1015,18,declared,0.03104192633146818
affine,active_no_task,1015,18,forward_heavy,0.0313609205877565
affine,active_no_task,1015,18,left_heavy,0.031643367365533324
affine,active_no_task,1015,18,right_heavy,0.029353563498179608
affine,active_no_task,1015,18,broad_uniform,0.03495807125684057
affine,active_no_task,1015,24,declared,0.019580717776413955
affine,active_no_task,1015,24,forward_heavy,0.020537818639079553
affine,active_no_task,1015,24,left_heavy,0.01730055828629244
affine,active_no_task,1015,24,right_heavy,0.018815557065839445
