# id timestamp x y z qx qy qz qw
108 1787326187.424392 4.447398 -3.419150 0.034943 0.147388 0.012858 -0.988007 -0.044188
109 1787326187.524377 4.283999 -3.401353 0.036944 0.129922 0.019055 -0.990429 -0.042517
110 1787326187.624428 4.147745 -3.385451 0.041255 0.145107 -0.000094 -0.988713 -0.037281
111 1787326187.724341 4.012409 -3.381169 0.039469 0.142793 -0.003310 -0.989165 -0.033947
112 1787326187.824305 3.876375 -3.363866 0.050513 0.145824 0.015553 -0.988323 -0.041374
113 1787326187.924366 3.733761 -3.353002 0.039847 0.146256 0.015057 -0.988466 -0.036292
114 1787326188.024452 3.591816 -3.346275 0.043185 0.144553 -0.000355 -0.989117 -0.027420
115 1787326188.224342 3.306315 -3.334088 0.051073 0.138665 0.018178 -0.989647 -0.032251
116 1787326188.324363 3.142443 -3.322011 0.041757 0.143491 -0.001641 -0.989338 -0.024851
117 1787326188.424222 2.989064 -3.302948 0.054275 0.146626 0.001530 -0.988977 -0.020581
118 1787326188.524287 2.824037 -3.292095 0.053633 0.148145 0.009804 -0.988664 -0.022371
119 1787326188.624364 2.687917 -3.283981 0.067122 0.136952 0.015530 -0.990133 -0.025280
120 1787326188.724323 2.535944 -3.278073 0.053982 0.150352 0.010530 -0.988373 -0.020063
121 1787326189.024283 2.107834 -3.272463 0.051006 0.129972 0.016082 -0.991232 -0.017547
122 1787326189.124213 1.952468 -3.267792 0.034960 0.149049 0.000235 -0.988762 -0.011534
123 1787326189.224342 1.806161 -3.281280 0.034350 0.134288 0.016991 -0.990700 -0.013827
124 1787326189.324458 1.669691 -3.286355 0.035096 0.148674 0.013897 -0.988637 -0.017286
125 1787326189.424324 1.530525 -3.283592 0.044554 0.121149 0.019678 -0.992346 -0.013635
126 1787326189.524366 1.377130 -3.268824 0.037153 0.149819 -0.005193 -0.988678 -0.006505
127 1787326189.624259 1.224668 -3.260653 0.038506 0.144281 0.014987 -0.989382 -0.009080
128 1787326190.024150 0.642261 -3.235476 0.030126 0.144102 0.008852 -0.989521 0.002261
129 1787326190.424442 0.061655 -3.240097 0.049724 0.148005 0.007280 -0.988476 -0.030922
130 1787326190.523211 -0.039648 -3.222447 0.065796 0.133979 0.013874 -0.987902 -0.076856
131 1787326190.624235 -0.124804 -3.193394 0.062697 0.113195 0.002380 -0.985294 -0.127969
132 1787326190.724451 -0.201746 -3.145627 0.058244 0.131370 -0.026845 -0.975962 -0.171814
133 1787326191.224330 -0.660316 -2.874707 0.042140 0.135335 -0.029714 -0.964526 -0.224703
134 1787326191.324383 -0.768101 -2.820330 0.034276 0.143127 -0.027494 -0.963255 -0.225606
135 1787326191.424221 -0.883222 -2.768301 0.031511 0.151639 -0.008331 -0.961715 -0.228125
136 1787326191.524401 -0.998833 -2.711467 0.016557 0.145207 -0.011188 -0.963733 -0.223624
137 1787326191.624382 -1.110440 -2.654903 0.020103 0.143605 -0.025635 -0.965158 -0.217233
138 1787326191.724313 -1.238552 -2.603941 0.025414 0.141561 -0.036055 -0.965574 -0.215237
139 1787326191.824352 -1.329676 -2.540768 0.028714 0.144738 -0.011639 -0.963867 -0.223331
140 1787326191.924429 -1.441957 -2.477574 0.019150 0.135266 -0.020104 -0.966874 -0.215532
141 1787326192.024296 -1.576452 -2.396319 0.007717 0.145523 -0.031394 -0.965848 -0.212075
142 1787326192.124382 -1.713791 -2.328015 -0.010851 0.150842 -0.022790 -0.965205 -0.212381
143 1787326192.224375 -1.847981 -2.269946 -0.012405 0.162576 -0.004273 -0.962402 -0.217562
144 1787326192.324315 -1.988256 -2.210398 -0.025393 0.158416 -0.016954 -0.964267 -0.211675
145 1787326192.424350 -2.131211 -2.157921 -0.018287 0.156968 -0.019034 -0.965488 -0.206958
146 1787326192.524368 -2.274296 -2.102621 -0.025321 0.154611 -0.016487 -0.965386 -0.209411
147 1787326192.624430 -2.409959 -2.063800 -0.009809 0.135096 -0.007254 -0.967457 -0.213830
148 1787326192.724340 -2.552986 -2.015740 -0.010311 0.145219 -0.024378 -0.967997 -0.203222
149 1787326192.824308 -2.698426 -1.952193 -0.002005 0.140366 -0.022314 -0.969177 -0.201233
150 1787326192.924264 -2.851818 -1.888775 -0.009111 0.153423 -0.015995 -0.966123 -0.206912
151 1787326193.024388 -2.977734 -1.818315 -0.000043 0.137944 -0.014713 -0.967107 -0.213209
152 1787326193.124398 -3.084100 -1.748493 -0.011242 0.137642 -0.015524 -0.961947 -0.235524
153 1787326193.224485 -3.175225 -1.683746 -0.012877 0.150635 -0.015144 -0.949023 -0.276468
154 1787326193.324418 -3.249270 -1.619515 -0.000295 0.135889 -0.022829 -0.935557 -0.325187
155 1787326193.924424 -3.380059 -1.106150 0.012897 0.096418 -0.071101 -0.779438 -0.614918
156 1787326194.024448 -3.407934 -1.009652 -0.001766 0.110648 -0.093164 -0.784491 -0.603035
157 1787326194.124551 -3.435363 -0.907641 -0.004091 0.105860 -0.083356 -0.784434 -0.605399
158 1787326194.224403 -3.466825 -0.788722 -0.014308 0.127392 -0.080162 -0.780675 -0.606542
159 1787326194.424349 -3.540901 -0.552165 -0.029050 0.117598 -0.080087 -0.786930 -0.600415
160 1787326194.524251 -3.593575 -0.432491 -0.023940 0.115277 -0.072345 -0.790987 -0.596504
161 1787326194.624327 -3.640319 -0.310470 -0.028164 0.126786 -0.074025 -0.788432 -0.597344
162 1787326194.724224 -3.688201 -0.188576 -0.012916 0.118815 -0.060787 -0.787594 -0.601568
163 1787326194.824200 -3.730544 -0.058345 -0.019816 0.114626 -0.086550 -0.791372 -0.594223
164 1787326195.024317 -3.812514 0.219577 -0.023427 0.128463 -0.070282 -0.790507 -0.594691
165 1787326195.124273 -3.856944 0.348452 -0.017341 0.130081 -0.065662 -0.799729 -0.582410
166 1787326195.224378 -3.902598 0.461429 -0.024705 0.135383 -0.045885 -0.821646 -0.551782
167 1787326195.324393 -3.936995 0.561881 -0.034694 0.135747 -0.058006 -0.826959 -0.542537
168 1787326195.424263 -3.977512 0.665754 -0.043035 0.135949 -0.055987 -0.826204 -0.543848
169 1787326195.624359 -4.058633 0.863162 -0.036161 0.117557 -0.049198 -0.830911 -0.541615
170 1787326195.724473 -4.103452 0.975522 -0.031497 0.121281 -0.061446 -0.833609 -0.535360
171 1787326195.824470 -4.159604 1.088065 -0.035438 0.124364 -0.050372 -0.833105 -0.536593
172 1787326195.924378 -4.218801 1.202898 -0.031381 0.128649 -0.057868 -0.830102 -0.539473
173 1787326196.024343 -4.294492 1.318883 -0.039935 0.125703 -0.056425 -0.842343 -0.521031
174 1787326196.124235 -4.365061 1.412033 -0.037860 0.130272 -0.049923 -0.860052 -0.490762
175 1787326196.224288 -4.425950 1.494249 -0.042052 0.138251 -0.036945 -0.858912 -0.491723
176 1787326196.324401 -4.482267 1.583161 -0.035603 0.133564 -0.046617 -0.859126 -0.491823
177 1787326196.424501 -4.525854 1.668038 -0.025863 0.120095 -0.028199 -0.862263 -0.491207
178 1787326196.524382 -4.585341 1.774459 -0.041069 0.135512 -0.047216 -0.864648 -0.481446
179 1787326196.724377 -4.703504 1.981656 -0.026547 0.126538 -0.051986 -0.850316 -0.508181
180 1787326196.824301 -4.737588 2.077429 -0.022065 0.117231 -0.050604 -0.828896 -0.544635
181 1787326197.424293 -4.590940 2.583848 -0.035043 0.073268 -0.103498 -0.550805 -0.824945
182 1787326198.124461 -4.035810 2.771993 -0.028063 0.026217 -0.122197 -0.107145 -0.986357
183 1787326198.424349 -3.784379 2.852509 -0.013571 0.024099 -0.125230 -0.112969 -0.985381
184 1787326198.624226 -3.559660 2.914739 -0.015942 0.033315 -0.143266 -0.107117 -0.983306
185 1787326198.824348 -3.303005 2.968088 -0.009740 0.017544 -0.139642 -0.115930 -0.983236
186 1787326198.924390 -3.164425 2.998109 0.000720 0.022010 -0.126777 -0.115153 -0.984979
187 1787326199.024344 -3.014016 3.030848 -0.007489 0.020827 -0.141699 -0.112469 -0.983279
188 1787326199.224384 -2.762172 3.089503 -0.007575 0.033453 -0.134704 -0.111101 -0.984069
189 1787326199.324364 -2.647731 3.114446 -0.014439 0.050289 -0.140644 -0.080594 -0.985492
190 1787326199.424388 -2.543116 3.138549 -0.016401 0.027133 -0.126947 -0.055334 -0.989993
191 1787326199.624479 -2.341901 3.183167 -0.034670 0.025539 -0.135010 -0.057438 -0.988848
192 1787326199.724315 -2.245738 3.189939 -0.025085 0.018745 -0.134015 -0.032249 -0.990277
193 1787326199.824271 -2.149411 3.184036 -0.012519 0.006553 -0.126795 0.013409 -0.991817
194 1787326200.424394 -1.658241 2.965455 -0.007975 -0.027963 -0.123061 0.167212 -0.977811
195 1787326200.524357 -1.571229 2.921724 -0.020358 -0.025243 -0.114747 0.211642 -0.970260
196 1787326201.124364 -1.298500 2.464702 0.008254 -0.057335 -0.109345 0.488608 -0.863723
197 1787326201.224475 -1.260002 2.378467 0.025768 -0.087134 -0.088450 0.479612 -0.868652
198 1787326201.324193 -1.207934 2.288989 0.027885 -0.066078 -0.088541 0.482825 -0.868720
199 1787326201.424272 -1.154923 2.184422 0.025595 -0.067492 -0.123023 0.488847 -0.861010
200 1787326201.524318 -1.095238 2.082688 0.029400 -0.055911 -0.113165 0.485577 -0.865033
201 1787326201.624424 -1.036966 1.968213 0.023206 -0.074975 -0.122092 0.478118 -0.866531
202 1787326201.724388 -0.967547 1.858856 0.032099 -0.059819 -0.108619 0.481201 -0.867795
203 1787326201.824342 -0.895468 1.744902 0.017556 -0.066500 -0.143534 0.470835 -0.867923
204 1787326201.924350 -0.823498 1.644031 0.017207 -0.073269 -0.147486 0.431518 -0.886945
205 1787326202.024423 -0.744546 1.580371 0.019108 -0.038774 -0.139649 0.382479 -0.912526
206 1787326202.824387 -0.220848 1.632541 0.046999 0.070969 -0.108087 -0.166427 -0.977539
207 1787326202.924339 -0.145562 1.666317 0.038103 0.048998 -0.126922 -0.172705 -0.975532
208 1787326203.024474 -0.047117 1.693973 0.034141 0.046769 -0.127293 -0.170318 -0.976013
209 1787326203.124455 0.055825 1.725882 0.024772 0.041786 -0.125344 -0.173091 -0.976003
210 1787326203.224430 0.166318 1.750921 0.031862 0.048107 -0.137030 -0.167808 -0.975064
211 1787326203.324357 0.281257 1.775614 0.026759 0.034999 -0.127955 -0.172508 -0.976035
212 1787326203.424325 0.396583 1.805475 0.030493 0.020682 -0.137568 -0.179525 -0.973868
213 1787326203.524412 0.504411 1.845602 0.040591 0.031889 -0.120360 -0.193743 -0.973119
214 1787326203.624352 0.591987 1.897405 0.040640 0.052305 -0.137860 -0.231952 -0.961487
215 1787326203.724355 0.661282 1.952576 0.054233 0.064876 -0.128291 -0.279116 -0.949435
