planned_unit_id,block_id,position,method_id,route_order
NAV_BLOCK_26_B8_full,NAV_BLOCK_26,7,B8_full,AB
NAV_BLOCK_26_B0_raw,NAV_BLOCK_26,8,B0_raw,BA
NAV_BLOCK_27_B2_lhs,NAV_BLOCK_27,1,B2_lhs,AB
NAV_BLOCK_27_B3_sobol,NAV_BLOCK_27,2,B3_sobol,BA
NAV_BLOCK_27_B4_d_opt,NAV_BLOCK_27,3,B4_d_opt,AB
NAV_BLOCK_27_B5_active_no_task,NAV_BLOCK_27,4,B5_active_no_task,BA
NAV_BLOCK_27_B6_random,NAV_BLOCK_27,5,B6_random,AB
NAV_BLOCK_27_B8_full,NAV_BLOCK_27,6,B8_full,BA
NAV_BLOCK_27_B0_raw,NAV_BLOCK_27,7,B0_raw,AB
NAV_BLOCK_27_B1_dense,NAV_BLOCK_27,8,B1_dense,BA
NAV_BLOCK_28_B3_sobol,NAV_BLOCK_28,1,B3_sobol,AB
NAV_BLOCK_28_B4_d_opt,NAV_BLOCK_28,2,B4_d_opt,BA
NAV_BLOCK_28_B5_active_no_task,NAV_BLOCK_28,3,B5_active_no_task,AB
NAV_BLOCK_28_B6_random,NAV_BLOCK_28,4,B6_random,BA
NAV_BLOCK_28_B8_full,NAV_BLOCK_28,5,B8_full,AB
NAV_BLOCK_28_B0_raw,NAV_BLOCK_28,6,B0_raw,BA
NAV_BLOCK_28_B1_dense,NAV_BLOCK_28,7,B1_dense,AB
NAV_BLOCK_28_B2_lhs,NAV_BLOCK_28,8,B2_lhs,BA
NAV_BLOCK_29_B4_d_opt,NAV_BLOCK_29,1,B4_d_opt,AB
NAV_BLOCK_29_B5_active_no_task,NAV_BLOCK_29,2,B5_active_no_task,BA
NAV_BLOCK_29_B6_random,NAV_BLOCK_29,3,B6_random,AB
NAV_BLOCK_29_B8_full,NAV_BLOCK_29,4,B8_full,BA
NAV_BLOCK_29_B0_raw,NAV_BLOCK_29,5,B0_raw,AB
NAV_BLOCK_29_B1_dense,NAV_BLOCK_29,6,B1_dense,BA
NAV_BLOCK_29_B2_lhs,NAV_BLOCK_29,7,B2_lhs,AB
NAV_BLOCK_29_B3_sobol,NAV_BLOCK_29,8,B3_sobol,BA
NAV_BLOCK_30_B5_active_no_task,NAV_BLOCK_30,1,B5_active_no_task,AB
NAV_BLOCK_30_B6_random,NAV_BLOCK_30,2,B6_random,BA
NAV_BLOCK_30_B8_full,NAV_BLOCK_30,3,B8_full,AB
NAV_BLOCK_30_B0_raw,NAV_BLOCK_30,4,B0_raw,BA
NAV_BLOCK_30_B1_dense,NAV_BLOCK_30,5,B1_dense,AB
NAV_BLOCK_30_B2_lhs,NAV_BLOCK_30,6,B2_lhs,BA
NAV_BLOCK_30_B3_sobol,NAV_BLOCK_30,7,B3_sobol,AB
NAV_BLOCK_30_B4_d_opt,NAV_BLOCK_30,8,B4_d_opt,BA
